id^title^url^summary^timestamp^datetime^user_name^source_website^category^content168^hot^rel_score^sensi
http://stock.jrj.com.cn/share,disc,2014-11-25,300003,0000000000000ahkaq.shtml^乐普医疗^http://stock.jrj.com.cn/share,disc,2014-11-25,300003,0000000000000ahkaq.shtml^ 北京市中伦律师事务所(以下简称“本所”)作为乐普(北京)医疗器械股份有限公司(以下简称“公司”)的常年法律顾问,受公司委托,指派律师出席公司 2014 年第三次...  ^1416844800^2014-11-25 00:00:00^金融界^baidu_ns_search^keywords_corp_baidu.txt^^36^139.180052956752^
http://finance.ifeng.com/a/20141125/13305510_0.shtml^乐普医疗澄清:新东港药业不存在因环保被处罚^http://finance.ifeng.com/a/20141125/13305510_0.shtml^乐普医疗(300003)11月25日晚间公告,2014年11月23日,有关媒体刊登标题为《乐普医疗5.7亿购新东港过半股权,前景遭质疑》的报道,对此,公司发表澄清公告称,公司...  ^1416911700^2014-11-25 18:35:00^凤凰网^baidu_ns_search^keywords_corp_baidu.txt^^25^278.3093556928508^
http://app.finance.ifeng.com/data/stock/ggzw/300003/14819995^乐普医疗:关于公司向中船重工财务有限责任公司申请综合授信额度并...^http://app.finance.ifeng.com/data/stock/ggzw/300003/14819995^ 2、该关联交易已获得董事会批准,关联董事在董事会上已回避表决,表决程序合法,符合《深圳证券交易所股票上市规则》、《公司章程》等相关规定的审议程序和审批权限的...  ^1416844800^2014-11-25 00:00:00^凤凰网^baidu_ns_search^keywords_corp_baidu.txt^^14^32.79964695498676^
http://stock.jrj.com.cn/share,disc,2014-11-25,300003,0000000000000ahkas.shtml^乐普医疗:第三届监事会第八次会议决议公告^http://stock.jrj.com.cn/share,disc,2014-11-25,300003,0000000000000ahkas.shtml^ 本公司及监事会全体成员保证公告内容真实、准确和完整,没有虚假记载、误导性陈述或重大遗漏。 乐普(北京)医疗器械股份有限公司(以下简称“乐普医疗”或“公司”)...  ^1416844800^2014-11-25 00:00:00^金融界^baidu_ns_search^keywords_corp_baidu.txt^^8^241.15401588702562^
http://www.chinadaily.com.cn/micro-reading/mil/2014-11-27/content_12794953.html^我国首艘出口尼日利亚新型巡逻舰正式交付^http://www.chinadaily.com.cn/micro-reading/mil/2014-11-27/content_12794953.html^[提要] 我国首艘出口到尼日利亚的新型近海巡逻舰今天上午十点在江苏启东正式交付,这是中船重工武船集团进入二十一世纪以来承制的吨位最大的军贸战斗舰。作为“西非...  ^1417067700^2014-11-27 13:55:00^中国日报^baidu_ns_search^keywords_corp_baidu.txt^^8^^
http://ggjd.cnstock.com/ggdetail/index/1200417102^乐普医疗:关于公司向中船重工财务有限责任公司申请综合授信额度并...^http://ggjd.cnstock.com/ggdetail/index/1200417102^ 乐普(北京)医疗器械股份有限公司 关于公司向中船重工财务有限责任公司申请综合授信额度 并涉及关联交易事项的独立董事意见 根据《公司法》、《关于在上市公司建立...  ^1416909480^2014-11-25 17:58:00^中国证券网^baidu_ns_search^keywords_corp_baidu.txt^^2^125.7714033539276^
http://www.cfi.net.cn/p20141125002164.html^[公告]乐普医疗:关于公司向银行申请综合授信额度的公告^http://www.cfi.net.cn/p20141125002164.html^ 京国贸支行申请综合授信业务,授信额度4亿元,授信期限1年。 公司最终授信额度将以实际审批的授信额度为准,具体融资金额将视公司 经营实际需求确定。公司董事会授权总...  ^1416915091^2014-11-25 19:31:31^中国财经信息网^baidu_ns_search^keywords_corp_baidu.txt^^2^38.3071491615181^
xinhua_forum_134603566^2014年11月23日 15:46:27 | 责任编辑: 于蕾^http://forum.home.news.cn/post/viewPostSingle.do?id=134603566&ui=njgkjb^2014年11月23日 15:46:27 | 责任编辑: 于蕾 | 来源： 新华网江苏频道  新华网南京11月23日电 23日，在江苏省江阴市苏南国际码头，“蛟龙号”载人深潜器顺利安装至试验母船^1416813306^2014-11-24 15:15:06^家住秦淮^xinhua_bbs_search^keywords_hot_forum.txt^^^0.40888888888888897^
http://jt.qlwb.com.cn/2014/1126/260419.shtml^山东海运寻路“蓝海” 实现逆市快速发展^http://jt.qlwb.com.cn/2014/1126/260419.shtml^ 18日,山东海运股份有限公司(下称“山东海运”)投资建造的新型25万吨级矿砂船交付使用,命名为“山东和谐”轮。这艘由青岛北海船舶重工有限责任公司(下称“北船重工...  ^1416985613^2014-11-26 15:06:53^齐鲁晚报^baidu_ns_search^keywords_corp_baidu.txt^^^^
http://www.efang.tv/news/201411/91357-1/^北船重工获500万科技资金 加快新区海洋科技创新建设^http://www.efang.tv/news/201411/91357-1/^近日,青岛市科技局下发了《关于下达2014年青岛市科技计划(第六批)的通知》,新区北海船舶重工有限责任公司承担的“水面无人智能测量平台”项目获青岛市500万元科技...  ^1417049432^2014-11-27 08:50:32^黄岛易房网^baidu_ns_search^keywords_corp_baidu.txt^^^^
