版块    栏目    来源    关键词
涉企與情    企业及成员单位  百度新闻搜索    keywords_corp_baidu.txt
涉企與情    企业及成员单位  微博API搜索    keywords_corp_weiboapi.txt
涉企與情    企业及成员单位  论坛搜索    keywords_corp_forum.txt
涉企與情    企业及成员单位  微信搜索    keywords_corp_weixin.txt
涉企與情    企业领导人  百度新闻搜索    keywords_leader_baidu.txt
涉企與情    企业领导人  微博API搜索    keywords_leader_weiboapi.txt
涉企與情    企业领导人  论坛搜索    keywords_leader_forum.txt
涉企與情    企业领导人  微信搜索    keywords_leader_weixin.txt
涉企與情    核心产品    百度新闻搜索    keywords_hot_baidu.txt
涉企與情    核心产品    微博API搜索    keywords_hot_weiboapi.txt
涉企與情    核心产品    论坛搜索    keywords_hot_forum.txt
涉企與情    核心产品    微信搜索    keywords_hot_weixin.txt
竞合观察    竞争对手    百度新闻搜索  keywords_enemy_baidu.txt
竞合观察    竞争对手    微博API搜索  keywords_enemy_weiboapi.txt
竞合观察    竞争对手    论坛搜索  keywords_enemy_forum.txt
竞合观察    竞争对手    微信搜索  keywords_enemy_weixin.txt
竞合观察    合作企业    百度新闻搜索  keywords_friends_baidu.txt
竞合观察    合作企业    微博API搜索  keywords_friends_weiboapi.txt
竞合观察    合作企业    论坛搜索  keywords_friends_forum.txt
竞合观察    合作企业    微信搜索  keywords_friends_weixin.txt
行业动态    行业动态    百度新闻搜索  keywords_domain_baidu.txt
行业动态    行业动态    微博API搜索  keywords_domain_weiboapi.txt
